Poem,1972,,
A Page of Madness,1926,,
Bang Bang,1971,,
Like Someone in Love,2012,,
The Baker's Wife,1938,,
The Driver,1978,,
The Boy and the Beast,2015,,
Starlet,2012,,
Buddha Collapsed Out of Shame,2007,,
Charley Varrick,1973,,
The Devil's Backbone,2001,,
Hobson's Choice,1954,,
Man of Marble,1977,,
Hail the Conquering Hero,1944,,
October (Ten Days that Shook the World),1927,,
Black Orpheus,1959,,
Crime and Punishment,1970,,
Night and Day,2008,,
The Wedding March,1928,,
Sinbad,1971,,
A Man There Was,1917,,
Throw Down,2004,,
The Book of Fish,2021,,
Take Out,2004,,
The Structure of Crystal,1969,,
The Legend of Hei,2019,,
Madame,1989,,
"O-Bi, O-Ba: The End of Civilization",1985,,
Hotel Rwanda,2004,,
Class Relations,1984,,
Little Nicholas: Happy As Can Be,2022,,
Journey to Italy,1954,,
Yana-Wara,2023,,
Different from the Others,1919,,
Cherry Magic! THE MOVIE,2022,,
A Lullaby to the Sorrowful Mystery,2016,,
Harry Potter and the Goblet of Fire,2005,,
An Egyptian Story,1982,,
Dirty Ho,1979,,
Johnny Corncob,1973,,
Mahanadhi,1994,,
Innocent Voices,2004,,
Vikram Vedha,2017,,
Transformers One,2024,,
GO,2001,,
Barbie,2023,,
Giorgio Moroder's Metropolis,1984,,
Total Recall,1990,,
Three Colours: White,1994,,
Love & Mercy,2014,,
The Teacher Who Promised the Sea,2023,,
The Day the Earth Stood Still,1951,,
The Big Short,2015,,
My Thoughts Are Silent,2019,,
Confessions of a Police Captain,1971,,
The Clock,1945,,
25 Watts,2001,,
Happy-Go-Lucky,2008,,
Touki Bouki,1973,,
In the Bedroom,2001,,
Conspirators of Pleasure,1996,,
Sertânia,2019,,
Nuvvostanante Nenoddantana,2005,,
Lubber Pandhu,2024,,
Midsommar,2019,,
Saltburn,2023,,
The Menu,2022,,
Once Upon a Time... in Hollywood,2019,,
Baby Driver,2017,,
Glass Onion,2022,,
Nope,2022,,
Inside Out 2,2024,,
(500) Days of Summer,2009,,
Guardians of the Galaxy,2014,,
Deadpool & Wolverine,2024,,
Black Panther,2018,,
Deadpool,2016,,
Pearl,2022,,
Titanic,1997,,
Don't Look Up,2021,,
Us,2019,,
X,2022,,
The Hunger Games,2012,,
Spider-Man: Homecoming,2017,,
Avatar: The Way of Water,2022,,
Harry Potter and the Philosopher's Stone,2001,,
Bottoms,2023,,
Bullet Train,2022,,
The Devil Wears Prada,2006,,
Avatar,2009,,
Thor: Ragnarok,2017,,
The Breakfast Club,1985,,
Longlegs,2024,,
It,2017,,
The Avengers,2012,,
Spider-Man: Far From Home,2019,,
Doctor Strange in the Multiverse of Madness,2022,,
Dunkirk,2017,,
Spider-Man,2002,,
Anyone But You,2023,,
A Quiet Place,2018,,
Lost in Translation,2003,,
Tenet,2020,,
Iron Man,2008,,
The Hunger Games: The Ballad of Songbirds & Snakes,2023,,
Guardians of the Galaxy Vol. 2,2017,,
Wonka,2023,,
Home Alone,1990,,
The Super Mario Bros. Movie,2023,,
Captain America: Civil War,2016,,
The Dark Knight Rises,2012,,
Harry Potter and the Chamber of Secrets,2002,,
Beetlejuice,1988,,
Mamma Mia!,2008,,
Doctor Strange,2016,,
Batman Begins,2005,,
Asteroid City,2023,,
John Wick,2014,,
Barbarian,2022,,
The Notebook,2004,,
Star Wars: The Force Awakens,2015,,
Captain America: The Winter Soldier,2014,,
Bohemian Rhapsody,2018,,
Bodies Bodies Bodies,2022,,
Juno,2007,,
Talk to Me,2022,,
Priscilla,2023,,
The Lobster,2015,,
Twilight,2008,,
Clueless,1995,,
Deadpool 2,2018,,
Split,2016,,
Harry Potter and the Order of the Phoenix,2007,,
The French Dispatch,2021,,
The Whale,2022,,
Don't Worry Darling,2022,,
Avengers: Age of Ultron,2015,,
The Martian,2015,,
Harry Potter and the Half-Blood Prince,2009,,
Bones and All,2022,,
Thor: Love and Thunder,2022,,
Harry Potter and the Deathly Hallows: Part 1,2010,,
Jennifer's Body,2009,,
No Hard Feelings,2023,,
Star Wars: Episode I – The Phantom Menace,1999,,
The Suicide Squad,2021,,
Last Night in Soho,2021,,
Encanto,2021,,
The Amazing Spider-Man,2012,,
Star Wars: The Last Jedi,2017,,
Black Widow,2021,,
Captain Marvel,2019,,
Rogue One: A Star Wars Story,2016,,
Captain America: The First Avenger,2011,,
Shang-Chi and the Legend of the Ten Rings,2021,,
Five Nights at Freddy's,2023,,
Ant-Man,2015,,
The Great Gatsby,2013,,
Luca,2021,,
Elvis,2022,,
Civil War,2024,,
Black Panther: Wakanda Forever,2022,,
Zootopia,2016,,
The Shape of Water,2017,,
Legally Blonde,2001,,
The Conjuring,2013,,
Star Wars: Episode II – Attack of the Clones,2002,,
Halloween,1978,,
Moana,2016,,
Turning Red,2022,,
Alien: Romulus,2024,,
Smile,2022,,
Charlie and the Chocolate Factory,2005,,
How to Lose a Guy in 10 Days,2003,,
Spider-Man 3,2007,,
Star Wars: The Rise of Skywalker,2019,,
Triangle of Sadness,2022,,
Cars,2006,,
Booksmart,2019,,
Kingsman: The Secret Service,2014,,
Iron Man 3,2013,,
The Hangover,2009,,
Big Hero 6,2014,,
Incredibles 2,2018,,
Suicide Squad,2016,,
Frozen,2013,,
Iron Man 2,2010,,
"Crazy, Stupid, Love.",2011,,
Thor,2011,,
The Killing of a Sacred Deer,2017,,
The Hunger Games: Mockingjay – Part 1,2014,,
The Northman,2022,,
The Black Phone,2021,,
13 Going on 30,2004,,
mother!,2017,,
Licorice Pizza,2021,,
Eternals,2021,,
Cruella,2021,,
The Fall Guy,2024,,
MaXXXine,2024,,
The Killer,2023,,
Promising Young Woman,2020,,
Beetlejuice Beetlejuice,2024,,
Venom,2018,,
The Hunger Games: Mockingjay – Part 2,2015,,
May December,2023,,
The Amazing Spider-Man 2,2014,,
Easy A,2010,,
Twisters,2024,,
A Star Is Born,2018,,
The Imitation Game,2014,,
Notting Hill,1999,,
Annihilation,2018,,
Free Guy,2021,,
The Lego Movie,2014,,
Late Night with the Devil,2023,,
Toy Story 4,2019,,
School of Rock,2003,,
Saw,2004,,
Wonder Woman,2017,,
Ready or Not,2019,,
It Chapter Two,2019,,
Top Gun,1986,,
Ant-Man and the Wasp,2018,,
Palm Springs,2020,,
Ready Player One,2018,,
Silver Linings Playbook,2012,,
John Wick: Chapter 2,2017,,
Pretty Woman,1990,,
Trap,2024,,
Love Lies Bleeding,2024,,
Zombieland,2009,,
Elemental,2023,,
Scream,2022,,
Green Book,2018,,
21 Jump Street,2012,,
Midnight in Paris,2011,,
Scream VI,2023,,
Thor: The Dark World,2013,,
I Saw the TV Glow,2024,,
mid90s,2018,,
A Quiet Place Part II,2020,,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,,
Pitch Perfect,2012,,
A Quiet Place: Day One,2024,,
Love Actually,2003,,
It Follows,2014,,
Leave the World Behind,2023,,
Ant-Man and the Wasp: Quantumania,2023,,
Beau Is Afraid,2023,,
Monkey Man,2024,,
John Wick: Chapter 3 – Parabellum,2019,,
The Curious Case of Benjamin Button,2008,,
Marie Antoinette,2006,,
The Greatest Showman,2017,,
The Edge of Seventeen,2016,,
Snowpiercer,2013,,
Joker: Folie à Deux,2024,,
Evil Dead Rise,2023,,
M3GAN,2022,,
The Princess Diaries,2001,,
Bird Box,2018,,
A Nightmare on Elm Street,1984,,
Brave,2012,,
The Blair Witch Project,1999,,
The Green Knight,2021,,
Grease,1978,,
Wreck-It Ralph,2012,,
Alice in Wonderland,2010,,
Rise of the Planet of the Apes,2011,,
Suspiria,2018,,
Fantastic Beasts and Where to Find Them,2016,,
Dungeons & Dragons: Honor Among Thieves,2023,,
No Time to Die,2021,,
Ghostbusters,1984,,
The Cabin in the Woods,2011,,
The Maze Runner,2014,,
Gravity,2013,,
Mr. & Mrs. Smith,2005,,
Jurassic World,2015,,
Pirates of the Caribbean: Dead Man's Chest,2006,,
Mission: Impossible – Dead Reckoning Part One,2023,,
X-Men: Days of Future Past,2014,,
Crazy Rich Asians,2018,,
Ocean's Eight,2018,,
Heathers,1989,,
Mean Girls,2024,,
Kinds of Kindness,2024,,
I'm Thinking of Ending Things,2020,,
The Idea of You,2024,,
American Fiction,2023,,
Now You See Me,2013,,
Fresh,2022,,
Finding Dory,2016,,
Life of Pi,2012,,
Despicable Me,2010,,
Monsters University,2013,,
The Parent Trap,1998,,
The Hobbit: An Unexpected Journey,2012,,
Megamind,2010,,
Elf,2003,,
Nocturnal Animals,2016,,
Dawn of the Planet of the Apes,2014,,
Hit Man,2023,,
The Invisible Man,2020,,
Men in Black,1997,,
The Power of the Dog,2021,,
Ice Age,2002,,
X-Men: First Class,2011,,
Cocaine Bear,2023,,
The Babadook,2014,,
Batman v Superman: Dawn of Justice,2016,,
Jumanji: Welcome to the Jungle,2017,,
Sorry to Bother You,2018,,
Napoleon,2023,,
Solo: A Star Wars Story,2018,,
Venom: Let There Be Carnage,2021,,
The Platform,2019,,
Matilda,1996,,
Madagascar,2005,,
The Darjeeling Limited,2007,,
Zoolander,2001,,
Raw,2016,,
Enemy,2013,,
Paddington,2014,,
The Little Mermaid,2023,,
Titane,2021,,
The Twilight Saga: New Moon,2009,,
Spencer,2021,,
Home Alone 2: Lost in New York,1992,,
Immaculate,2024,,
White Chicks,2004,,
The Evil Dead,1981,,
Aquaman,2018,,
Indiana Jones and the Temple of Doom,1984,,
The Secret Life of Walter Mitty,2013,,
Scream 2,1997,,
How the Grinch Stole Christmas,2000,,
Nobody,2021,,
Edge of Tomorrow,2014,,
Old,2021,,
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,,
Kick-Ass,2010,,
Eighth Grade,2018,,
Dream Scenario,2023,,
Shazam!,2019,,
Night at the Museum,2006,,
Prometheus,2012,,
Kingdom of the Planet of the Apes,2024,,
World War Z,2013,,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,,
Rocketman,2019,,
To All the Boys I've Loved Before,2018,,
War for the Planet of the Apes,2017,,
28 Days Later,2002,,
Dirty Dancing,1987,,
Hercules,1997,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,,
X-Men,2000,,
Pirates of the Caribbean: At World's End,2007,,
Man of Steel,2013,,
Emma.,2020,,
The Proposal,2009,,
Climax,2018,,
Indiana Jones and the Dial of Destiny,2023,,
Ted,2012,,
Into the Wild,2007,,
Frozen II,2019,,
Romeo + Juliet,1996,,
Rango,2011,,
Air,2023,,
Blue Valentine,2010,,
The Hobbit: The Desolation of Smaug,2013,,
The Flash,2023,,
10 Cloverfield Lane,2016,,
West Side Story,2021,,
"Red, White & Royal Blue",2023,,
Malignant,2021,,
The Holiday,2006,,
Infinity Pool,2023,,
House of Gucci,2021,,
Mission: Impossible,1996,,
Me Before You,2016,,
Napoleon Dynamite,2004,,
Prey,2022,,
The Game,1997,,
Mamma Mia! Here We Go Again,2018,,
Breakfast at Tiffany's,1961,,
The Unbearable Weight of Massive Talent,2022,,
The Theory of Everything,2014,,
The Life Aquatic with Steve Zissou,2004,,
Okja,2017,,
The Mask,1994,,
Kingsman: The Golden Circle,2017,,
A Bug's Life,1998,,
The Little Mermaid,1989,,
El Camino: A Breaking Bad Movie,2019,,
Freaky Friday,2003,,
The Polar Express,2004,,
Minions: The Rise of Gru,2022,,
A Ghost Story,2017,,
Do Revenge,2022,,
Zack Snyder's Justice League,2021,,
Enola Holmes,2020,,
We Need to Talk About Kevin,2011,,
Uncharted,2022,,
The Incredible Hulk,2008,,
The Gentlemen,2019,,
Godzilla vs. Kong,2021,,
The Hobbit: The Battle of the Five Armies,2014,,
Creed,2015,,
Jumanji,1995,,
Moulin Rouge!,2001,,
Bridget Jones's Diary,2001,,
Under the Skin,2013,,
The Conjuring 2,2016,,
Back to the Future Part III,1990,,
I Am Legend,2007,,
The Matrix Reloaded,2003,,
Scooby-Doo,2002,,
Onward,2020,,
The Creator,2023,,
Insidious,2010,,
Batman,1989,,
The Craft,1996,,
The Twilight Saga: Eclipse,2010,,
Madame Web,2024,,
Knock at the Cabin,2023,,
Maestro,2023,,
How to Train Your Dragon 2,2014,,
Watchmen,2009,,
Cars 2,2011,,
She's the Man,2006,,
Fear Street: 1994,2021,,
The Mummy,1999,,
Divergent,2014,,
The Boy in the Striped Pyjamas,2008,,
Hocus Pocus,1993,,
Game Night,2018,,
Shrek the Third,2007,,
The Matrix Resurrections,2021,,
Nightmare Alley,2021,,
X-Men: Apocalypse,2016,,
Swiss Army Man,2016,,
"Love, Simon",2018,,
Scream 4,2011,,
Lucy,2014,,
22 Jump Street,2014,,
Wonder Woman 1984,2020,,
Dogtooth,2009,,
Doctor Sleep,2019,,
Sinister,2012,,
Beauty and the Beast,2017,,
50 First Dates,2004,,
Fury,2014,,
Scary Movie,2000,,
Bridesmaids,2011,,
Thirteen,2003,,
Bram Stoker's Dracula,1992,,
Lisa Frankenstein,2024,,
Burn After Reading,2008,,
Ad Astra,2019,,
The Fault in Our Stars,2014,,
Tropic Thunder,2008,,
The Fast and the Furious,2001,,
Terrifier,2016,,
The Twilight Saga: Breaking Dawn – Part 2,2012,,
Willy Wonka & the Chocolate Factory,1971,,
Interview with the Vampire,1994,,
The Devil All the Time,2020,,
Despicable Me 4,2024,,
The Goonies,1985,,
Gremlins,1984,,
This Is the End,2013,,
High School Musical,2006,,
The 40 Year Old Virgin,2005,,
Kung Fu Panda 2,2011,,
The Butterfly Effect,2004,,
The House That Jack Built,2018,,
X2,2003,,
Transformers,2007,,
Friday the 13th,1980,,
Blink Twice,2024,,
The Twilight Saga: Breaking Dawn – Part 1,2011,,
Maleficent,2014,,
We're the Millers,2013,,
Scream 3,2000,,
The Marvels,2023,,
Death Proof,2007,,
Pacific Rim,2013,,
Minority Report,2002,,
Glass,2019,,
Justice League,2017,,
Project X,2012,,
Grown Ups,2010,,
Jurassic World: Fallen Kingdom,2018,,
The Terminal,2004,,
The Fifth Element,1997,,
Predator,1987,,
The Disaster Artist,2017,,
Les Misérables,2012,,
The Purge,2013,,
Jurassic World Dominion,2022,,
Happy Death Day,2017,,
Raya and the Last Dragon,2021,,
Monster House,2006,,
Murder on the Orient Express,2017,,
The Birds,1963,,
The Trial of the Chicago 7,2020,,
The Place Beyond the Pines,2012,,
Unbreakable,2000,,
Pokémon Detective Pikachu,2019,,
Kong: Skull Island,2017,,
Cloudy with a Chance of Meatballs,2009,,
Bee Movie,2007,,
Alien: Covenant,2017,,
"Love, Rosie",2014,,
Godzilla × Kong: The New Empire,2024,,
It Ends with Us,2024,,
Ralph Breaks the Internet,2018,,
Spectre,2015,,
Despicable Me 2,2013,,
Sweeney Todd: The Demon Barber of Fleet Street,2007,,
District 9,2009,,
Men,2022,,
Aladdin,2019,,
Fantastic Beasts: The Crimes of Grindelwald,2018,,
The Others,2001,,
Halloween,2018,,
Sherlock Holmes,2009,,
Enchanted,2007,,
Signs,2002,,
The Lion King,2019,,
The Gray Man,2022,,
Fear and Loathing in Las Vegas,1998,,
Saw X,2023,,
Gangs of New York,2002,,
Indiana Jones and the Kingdom of the Crystal Skull,2008,,
8 Mile,2002,,
The King's Speech,2010,,
Hellraiser,1987,,
Batman Returns,1992,,
I Care a Lot,2020,,
Step Brothers,2008,,
Black Adam,2022,,
The Conjuring: The Devil Made Me Do It,2021,,
Mission: Impossible – Rogue Nation,2015,,
Looper,2012,,
Fear Street: 1978,2021,,
Abigail,2024,,
The Addams Family,1991,,
X-Men Origins: Wolverine,2009,,
Green Room,2015,,
When Evil Lurks,2023,,
Pig,2021,,
300,2006,,
Hugo,2011,,
Megalopolis,2024,,
Final Destination,2000,,
Don't Breathe,2016,,
Argo,2012,,
Mission: Impossible – Ghost Protocol,2011,,
The Wolverine,2013,,
Mandy,2018,,
Creep,2014,,
Closer,2004,,
The Matrix Revolutions,2003,,
Bridge to Terabithia,2007,,
Orphan,2009,,
Click,2006,,
Tarzan,1999,,
Saw II,2005,,
Borat Subsequent Moviefilm,2020,,
X-Men: The Last Stand,2006,,
The Last Duel,2021,,
Anchorman: The Legend of Ron Burgundy,2004,,
The Simpsons Movie,2007,,
Yesterday,2019,,
The Descent,2005,,
The Machinist,2004,,
Pirates of the Caribbean: On Stranger Tides,2011,,
It's What's Inside,2024,,
The Godfather Part III,1990,,
Passengers,2016,,
American Hustle,2013,,
Godzilla,2014,,
Alice in Wonderland,1951,,
Terrifier 2,2022,,
Under the Silver Lake,2018,,
Lightyear,2022,,
Hotel Transylvania,2012,,
The First Omen,2024,,
Totally Killer,2023,,
Death on the Nile,2022,,
The Neon Demon,2016,,
Snow White and the Seven Dwarfs,1937,,
Labyrinth,1986,,
Theater Camp,2023,,
The King,2019,,
A Haunting in Venice,2023,,
"Are You There God? It's Me, Margaret.",2023,,
Evil Dead,2013,,
The World's End,2013,,
Sonic the Hedgehog,2020,,
The Hangover Part II,2011,,
The Bikeriders,2023,,
Zombieland: Double Tap,2019,,
Chicken Run,2000,,
First Man,2018,,
[REC],2007,,
Sleepy Hollow,1999,,
Minions,2015,,
Coherence,2013,,
"As Above, So Below",2014,,
The Lost World: Jurassic Park,1997,,
The Ballad of Buster Scruggs,2018,,
Enter the Void,2009,,
The Adam Project,2022,,
Hush,2016,,
Morbius,2022,,
Creed III,2023,,
You Were Never Really Here,2017,,
Road House,2024,,
Ocean's Twelve,2004,,
Pirates of the Caribbean: Dead Men Tell No Tales,2017,,
The Interview,2014,,
Audition,1999,,
The Fast and the Furious: Tokyo Drift,2006,,
Bolt,2008,,
American Sniper,2014,,
The Ring,2002,,
Wonder,2017,,
Sausage Party,2016,,
The Mist,2007,,
Crimson Peak,2015,,
The Love Witch,2016,,
Poltergeist,1982,,
Chef,2014,,
Spring Breakers,2012,,
How to Train Your Dragon: The Hidden World,2019,,
The Guilty,2021,,
Now You See Me 2,2016,,
Where the Crawdads Sing,2022,,
Shrek Forever After,2010,,
Friends with Benefits,2011,,
Cloverfield,2008,,
Renfield,2023,,
Shark Tale,2004,,
What's Eating Gilbert Grape,1993,,
Thanksgiving,2023,,
The Secret World of Arrietty,2010,,
Twister,1996,,
Blue Beetle,2023,,
A Simple Favor,2018,,
Irreversible,2002,,
Fear Street: 1666,2021,,
Kung Fu Panda 4,2024,,
Speak No Evil,2024,,
Blue Is the Warmest Color,2013,,
The Nun,2018,,
The Lost Daughter,2021,,
127 Hours,2010,,
The Karate Kid,1984,,
Insomnia,2002,,
Death Becomes Her,1992,,
Alien³,1992,,
They Live,1988,,
Fantastic Beasts: The Secrets of Dumbledore,2022,,
The Lost Boys,1987,,
The Aviator,2004,,
Jumanji: The Next Level,2019,,
King Richard,2021,,
Gran Torino,2008,,
The Bling Ring,2013,,
We Live in Time,2024,,
Damsel,2024,,
One Day,2011,,
Point Break,1991,,
Candyman,2021,,
Hustle,2022,,
Spree,2020,,
Speed,1994,,
High School Musical 2,2007,,
Woman of the Hour,2023,,
Sin City,2005,,
The Bourne Identity,2002,,
Crimes of the Future,2022,,
Drive-Away Dolls,2024,,
Godzilla: King of the Monsters,2019,,
Independence Day,1996,,
Space Jam,1996,,
Rush Hour,1998,,
The Visit,2015,,
Sing,2016,,
Dark Phoenix,2019,,
Lars and the Real Girl,2007,,
Miss Peregrine's Home for Peculiar Children,2016,,
Set It Up,2018,,
Mrs. Doubtfire,1993,,
Red Notice,2021,,
Natural Born Killers,1994,,
Halloween Kills,2021,,
Inherent Vice,2014,,
The Host,2006,,
Mission: Impossible III,2006,,
Smile 2,2024,,
Bruce Almighty,2003,,
War Dogs,2016,,
The Tragedy of Macbeth,2021,,
True Grit,2010,,
Maze Runner: The Scorch Trials,2015,,
Women Talking,2022,,
The Lorax,2012,,
Kung Fu Panda 3,2016,,
Ghostbusters: Afterlife,2021,,
Alita: Battle Angel,2019,,
Army of Darkness,1992,,
Skinamarink,2022,,
See How They Run,2022,,
Robots,2005,,
Lolita,1962,,
Rio,2011,,
Cars 3,2017,,
The Intern,2015,,
Child's Play,1988,,
27 Dresses,2008,,
Vivarium,2019,,
From Dusk Till Dawn,1996,,
Pocahontas,1995,,
Blade,1998,,
American Pie,1999,,
A Man Called Otto,2022,,
Mission: Impossible II,2000,,
Mad Max,1979,,
Taken,2008,,
Hustlers,2019,,
Ferrari,2023,,
Saint Maud,2019,,
Cape Fear,1991,,
Panic Room,2002,,
The Crow,1994,,
In Time,2011,,
Blonde,2022,,
Red Eye,2005,,
Fantastic Four,2005,,
The Da Vinci Code,2006,,
The Meg,2018,,
2 Fast 2 Furious,2003,,
A.I. Artificial Intelligence,2001,,
Brother Bear,2003,,
The King's Man,2021,,
Mank,2020,,
Pitch Perfect 2,2015,,
Chicken Little,2005,,
The Lovely Bones,2009,,
Office Space,1999,,
Miss Congeniality,2000,,
Constantine,2005,,
Love & Other Drugs,2010,,
The Lost City,2022,,
Missing,2023,,
Paranormal Activity,2007,,
Belfast,2021,,
King Kong,2005,,
The Dreamers,2003,,
Cuckoo,2024,,
Quantum of Solace,2008,,
Gattaca,1997,,
Amsterdam,2022,,
Dune,1984,,
The Fallout,2021,,
Argylle,2024,,
Halloween Ends,2022,,
Percy Jackson & the Olympians: The Lightning Thief,2010,,
Fall,2022,,
You've Got Mail,1998,,
Maze Runner: The Death Cure,2018,,
Vice,2018,,
Gran Turismo,2023,,
The Room,2003,,
Antichrist,2009,,
Ice Age: The Meltdown,2006,,
Madagascar: Escape 2 Africa,2008,,
Lamb,2021,,
Candyman,1992,,
Dumb and Dumber,1994,,
Crash,1996,,
Cinderella,1950,,
The Blind Side,2009,,
Starship Troopers,1997,,
Creed II,2018,,
The Ritual,2017,,
Murder Mystery,2019,,
Fast Five,2011,,
Bambi,1942,,
Only Lovers Left Alive,2013,,
Saw III,2006,,
National Treasure,2004,,
The Devil's Advocate,1997,,
Just Go with It,2011,,
Searching,2018,,
The Princess Diaries 2: Royal Engagement,2004,,
No One Will Save You,2023,,
Practical Magic,1998,,
Furious 7,2015,,
TRON: Legacy,2010,,
The Nun II,2023,,
Bad Times at the El Royale,2018,,
Possessor,2020,,
White Noise,2022,,
Hairspray,2007,,
Troy,2004,,
War of the Worlds,2005,,
Captain Phillips,2013,,
Contagion,2011,,
Charlie's Angels,2000,,
Logan Lucky,2017,,
Fifty Shades of Grey,2015,,
The Guardians of the Galaxy Holiday Special,2022,,
Ghost World,2001,,
Fast X,2023,,
The Jungle Book,2016,,
The Hunchback of Notre Dame,1996,,
Cinderella,2015,,
The Man from U.N.C.L.E.,2015,,
Cruel Intentions,1999,,
Rush,2013,,
The Autopsy of Jane Doe,2016,,
Pinocchio,1940,,
The Founder,2016,,
Pineapple Express,2008,,
Run,2020,,
The Adventures of Tintin,2011,,
The Outsiders,1983,,
Atomic Blonde,2017,,
Sleeping Beauty,1959,,
Martyrs,2008,,
The Kissing Booth,2018,,
Atlantis: The Lost Empire,2001,,
Enola Holmes 2,2022,,
Happy Feet,2006,,
Brooklyn,2015,,
Anastasia,1997,,
Vanilla Sky,2001,,
Upgrade,2018,,
Frankenweenie,2012,,
Fallen Leaves,2023,,
Limitless,2011,,
Straight Outta Compton,2015,,
One Hundred and One Dalmatians,1961,,
Bottle Rocket,1996,,
The Big Sick,2017,,
Men in Black II,2002,,
"Hail, Caesar!",2016,,
Face/Off,1997,,
Neighbors,2014,,
Super 8,2011,,
It Comes at Night,2017,,
Meet the Robinsons,2007,,
The Babysitter,2017,,
Nerve,2016,,
Over the Hedge,2006,,
Three Thousand Years of Longing,2022,,
2012,2009,,
The Village,2004,,
The Strangers,2008,,
Shame,2011,,
Austin Powers: International Man of Mystery,1997,,
Violent Night,2022,,
"Salò, or the 120 Days of Sodom",1975,,
BlackBerry,2023,,
The Day After Tomorrow,2004,,
Alvin and the Chipmunks,2007,,
Surf's Up,2007,,
In the Heights,2021,,
Star Trek,2009,,
Jurassic Park III,2001,,
Happy Gilmore,1996,,
The Hurt Locker,2008,,
17 Again,2009,,
Ocean's Thirteen,2007,,
High Fidelity,2000,,
Speak No Evil,2022,,
"I, Robot",2004,,
The Spectacular Now,2013,,
Hook,1991,,
The King of Staten Island,2020,,
Hannibal,2001,,
Basic Instinct,1992,,
Sonic the Hedgehog 2,2022,,
Love and Monsters,2020,,
Men in Black 3,2012,,
The Death of Stalin,2017,,
Escape from New York,1981,,
Sixteen Candles,1984,,
Puss in Boots,2011,,
Annabelle,2014,,
They Cloned Tyrone,2023,,
Shazam! Fury of the Gods,2023,,
50/50,2011,,
Forgetting Sarah Marshall,2008,,
A Girl Walks Home Alone at Night,2014,,
The Other Guys,2010,,
Kids,1995,,
Mean Streets,1973,,
I Know What You Did Last Summer,1997,,
Bumblebee,2018,,
The Dictator,2012,,
Sleepless in Seattle,1993,,
Malcolm & Marie,2021,,
The House,2022,,
Sherlock Holmes: A Game of Shadows,2011,,
The Beekeeper,2024,,
Werewolf by Night,2022,,
A Cinderella Story,2004,,
Happiest Season,2020,,
At Eternity's Gate,2018,,
Peter Pan,1953,,
Sunshine,2007,,
The Jungle Book,1967,,
Rise of the Guardians,2012,,
Source Code,2011,,
High School Musical 3: Senior Year,2008,,
Army of the Dead,2021,,
Elephant,2003,,
The Beguiled,2017,,
Seven Psychopaths,2012,,
Gerald's Game,2017,,
The Karate Kid,2010,,
The Watchers,2024,,
Big,1988,,
Palo Alto,2013,,
High Life,2018,,
The Hangover Part III,2013,,
Meet the Parents,2000,,
The Half of It,2020,,
Despicable Me 3,2017,,
Terrifier 3,2024,,
Liar Liar,1997,,
Thoroughbreds,2017,,
Moonstruck,1987,,
Dark Shadows,2012,,
National Lampoon's Christmas Vacation,1989,,
Transformers: Revenge of the Fallen,2009,,
Ace Ventura: Pet Detective,1994,,
The Post,2017,,
Honey Boy,2019,,
Flushed Away,2006,,
Batman & Robin,1997,,
Begin Again,2013,,
How to Have Sex,2023,,
Transformers: Rise of the Beasts,2023,,
Steve Jobs,2015,,
The Good Dinosaur,2015,,
My Best Friend's Wedding,1997,,
Ice Age: Dawn of the Dinosaurs,2009,,
Life,2017,,
The Invitation,2015,,
Popstar: Never Stop Never Stopping,2016,,
Five Feet Apart,2019,,
Alien Resurrection,1997,,
Ghostbusters: Frozen Empire,2024,,
Yes Man,2008,,
Dumb Money,2023,,
Molly's Game,2017,,
Lady and the Tramp,1955,,
The Age of Adaline,2015,,
The Croods,2013,,
Trick 'r Treat,2007,,
Freaky,2020,,
Spy Kids,2001,,
Batman Forever,1995,,
F9,2021,,
The Secret Life of Pets,2016,,
Ghostbusters,2016,,
DodgeBall: A True Underdog Story,2004,,
Blood Diamond,2006,,
Meet Joe Black,1998,,
Grown Ups 2,2013,,
Hellboy,2004,,
She's All That,1999,,
Bring It On,2000,,
The Equalizer,2014,,
The Impossible,2012,,
Fast & Furious 6,2013,,
Aquaman and the Lost Kingdom,2023,,
Flipped,2010,,
The Town,2010,,
Frankenstein,1931,,
Mars Attacks!,1996,,
Jerry Maguire,1996,,
Gummo,1997,,
First Blood,1982,,
Horrible Bosses,2011,,
Jackie,2016,,
Fast & Furious,2009,,
The Aristocats,1970,,
A History of Violence,2005,,
Bill & Ted's Excellent Adventure,1989,,
Lemony Snicket's A Series of Unfortunate Events,2004,,
Diary of a Wimpy Kid,2010,,
Holes,2003,,
Clerks,1994,,
Texas Chainsaw Massacre,2022,,
Lincoln,2012,,
The Basketball Diaries,1995,,
The Fighter,2010,,
The Cat in the Hat,2003,,
Extraction,2020,,
From Up on Poppy Hill,2011,,
ParaNorman,2012,,
Ginger Snaps,2000,,
Chronicle,2012,,
Transformers: Dark of the Moon,2011,,
Gifted,2017,,
Wallace & Gromit: The Curse of the Were-Rabbit,2005,,
Meg 2: The Trench,2023,,
Election,1999,,
Night at the Museum: Battle of the Smithsonian,2009,,
Wild Child,2008,,
Stuart Little,1999,,
Inside Man,2006,,
Mulan,2020,,
